X,Y,ObjectId,tid,stanoviste_ogc_fid,typ_odpad_separovany,komodita_odpad_separovany,objem,cyklus_vyvozu,majitel,vyvoz_1,vyvoz_2,vyvoz_3,vyvoz_4,vyvoz_5,vyvoz_6,vyvoz_7,vyvoz_1_zacatek,vyvoz_2_zacatek,vyvoz_3_zacatek,vyvoz_4_zacatek,vyvoz_5_zacatek,vyvoz_6_zacatek,vyvoz_7_zacatek,vyvoz_1_interval,vyvoz_2_interval,vyvoz_3_interval,vyvoz_4_interval,vyvoz_5_interval,vyvoz_6_interval,vyvoz_7_interval,nazev,ulice,cp,verejnost,datum_exportu,GlobalID
1839939.2944,6314750.8399,1,23914,2769,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,3x týdně,SAKO,N,N,A,N,A,N,A,,,2021/06/02 00:00:00+00,,2021/02/05 00:00:00+00,,2022/11/13 00:00:00+00,,,7,,7,,7,Rekreační x Ondrova,Ondrova,159,A,2023/04/19 00:00:00+00,{DBC988FE-B833-4C35-BF7A-97C4B7268FE0}
1839918.4109,6312587.6507,2,22185,2425,,Textil,1000,1x týdně,SAKO,A,N,N,N,N,N,N,2019/01/07 00:00:00+00,,,,,,,7,,,,,,,Vondrákova  13 - ALBERT,Vondrákova,825,A,2023/04/19 00:00:00+00,{DAB1665C-BD45-4BA1-8E57-29DBDF478439}
1846670.8063,6311572.8298,3,22194,3238,,Textil,1000,1x týdně,SAKO,A,N,N,N,N,N,N,2019/01/07 00:00:00+00,,,,,,,7,,,,,,,Jana Babáka x Tererova,Tererova,1862,A,2023/04/19 00:00:00+00,{CC232BFE-E0C4-4515-B4D0-B8420694A419}
1839328.6513,6311525.249,4,22200,3638,,Textil,1000,1x týdně,SAKO,A,N,N,N,N,N,N,2019/01/07 00:00:00+00,,,,,,,7,,,,,,,Černého 52,Černého,803,A,2023/04/19 00:00:00+00,{8E0DD0DE-D558-47E7-A424-4C5B36C7FCA5}
1847015.4625,6305530.3384,5,18809,8216,,Papír,240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2020/01/30 00:00:00+00,,,,,,,7,,,,Rovná 9 - v domě,Rovná,429,N,2023/04/19 00:00:00+00,{2CDFEF7C-A44E-49B4-9F5A-E087B5F293E8}
1849448.8732,6307979.5283,6,24002,9962,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,A,N,N,N,N,N,N,2019/04/22 00:00:00+00,,,,,,,7,,,,,,,Divadelní 6 - v domě,Divadelní,614,N,2023/04/19 00:00:00+00,{E9C63463-FC1D-4CCC-BD27-CF2C4107C7B4}
1856293.3855,6310148.9463,7,11460,2858,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,EKO-KOM,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Synkova 12,Synkova,2097,A,2023/04/19 00:00:00+00,{7AAD2152-B615-4A53-B8D7-548D2F7EE7C5}
1856760.0257,6310681.5176,8,21177,2862,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Kotlanova 5,Elplova,2468,A,2023/04/19 00:00:00+00,{213C7C93-7E6F-45D5-BC5C-60B269A0F55B}
1839737.7171,6304823.1255,9,23954,2412,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,N,A,N,N,A,N,N,,2021/02/02 00:00:00+00,,,2021/02/05 00:00:00+00,,,,7,,,7,,,Vzhledná 62,Vzhledná,108,A,2023/04/19 00:00:00+00,{23CBEB1E-8D4E-44E3-BBD5-83758772DCC4}
1850053.0931,6312999.7154,10,12231,2592,,Papír,1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Třískalova 1,Třískalova,566,A,2023/04/19 00:00:00+00,{4FB2DDEA-3087-4CD0-A52F-46BD198DFB8A}
1851569.7989,6312805.0662,11,12151,2597,,Papír,1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Soběšická x Vyhlídka,,1936,A,2023/04/19 00:00:00+00,{9510444C-84A4-4738-BEEE-DFEC9B8CA8ED}
1851134.0277,6312933.0535,12,11714,3093,,Papír,1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Heleny Malířové 1,Heleny Malířové,154,A,2023/04/19 00:00:00+00,{EF93CE4D-BE05-4E36-BF4C-B42A69137AFE}
1851176.7966,6314393.2929,13,11773,3484,,Papír,1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Ježkova x Brechtova,Ježkova,879,A,2023/04/19 00:00:00+00,{520CCFFF-10CF-442B-99AE-D0CC71232B8B}
1838801.9988,6311639.9411,14,10983,2740,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,3x týdně,SAKO,N,A,N,N,A,N,A,,2021/01/26 00:00:00+00,,,2021/01/29 00:00:00+00,,2021/02/07 00:00:00+00,,7,,,7,,7,Štouračova 1,Štouračova,899,A,2023/04/19 00:00:00+00,{4C9B899D-53A7-44E2-9E98-453F220243C9}
1850277.5244,6300715.4307,15,24174,2473,,Biologický odpad,240,1x týdně,SAKO,A,N,N,N,N,N,N,2021/04/19 00:00:00+00,,,,,,,7,,,,,,,Chleborádova x Havránkova,Chleborádova,49,A,2023/04/19 00:00:00+00,{28039924-7243-4C3F-A48E-B118C8F7D46B}
1844802.1305,6303090.5598,16,24040,4028,,Biologický odpad,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2021/04/20 00:00:00+00,,,,,,,7,,,,,,Souhrady 8,Žlíbek,485,A,2023/04/19 00:00:00+00,{F53B7B5A-6947-4519-9A56-08C3954F51E7}
1845158.9651,6303167.6312,17,24041,2500,,Biologický odpad,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2021/04/20 00:00:00+00,,,,,,,7,,,,,,Čeňka Růžičky x Lískovecká,Čeňka Růžičky,388,A,2023/04/19 00:00:00+00,{0C102549-1634-4890-8FEF-98A70CB259F2}
1836881.0808,6312114.4046,18,24129,2743,,Biologický odpad,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2021/04/14 00:00:00+00,,,,,,,7,,,,,Teyschlova 10,Teyschlova,1107,A,2023/04/19 00:00:00+00,{7D829866-D7AB-4DC4-8846-F5F40662034D}
1852407.8009,6308890.1807,19,10915,3048,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,3x týdně,SAKO,N,A,N,N,A,N,A,,2021/02/02 00:00:00+00,,,2021/02/05 00:00:00+00,,2021/02/07 00:00:00+00,,7,,,7,,7,Rokycanova 2,Rokycanova,1068,A,2023/04/19 00:00:00+00,{10E4C6FC-FE44-4EBA-B6A7-44DBE1099888}
1852687.3576,6315355.7023,20,24351,4970,,Biologický odpad,240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2021/04/22 00:00:00+00,,,,,,,7,,,,Fantova 13,Fantova,714,A,2023/04/19 00:00:00+00,{9C022128-3746-4541-ABC6-618F97F74816}
1845677.5247,6317109.9942,21,23990,10544,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,1x14 sudý,SAKO,N,N,N,N,A,N,N,,,,,2022/02/11 00:00:00+00,,,,,,,14,,,Uprkova 1a - TŘÍĎOUN,Uprkova,1932,N,2023/04/19 00:00:00+00,{4AEE1F6C-AABD-4AA4-B84B-E129B39C5DDD}
1857625.5236,6310667.9025,22,11154,2863,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,3x týdně,EKO-KOM,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Bednaříkova 11,Bednaříkova,2189,A,2023/04/19 00:00:00+00,{A5162275-84BD-4C26-A522-C859AEEE7989}
1849695.8021,6309503.4478,23,25579,10731,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2022/02/17 00:00:00+00,,,,,,,7,,,,Kunzova 8 - v domě,Kunzova,782,N,2023/04/19 00:00:00+00,{2C37EDAE-FCCE-41CE-82E7-5FBD4840B26A}
1847452.0353,6307536.3159,24,26336,3694,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,A,N,N,N,N,N,,2019/01/15 00:00:00+00,,,,,,,7,,,,,,Úvoz 6 - v domě,Úvoz,509,N,2023/04/19 00:00:00+00,{AE7F4173-E648-4AC9-BD2D-B1947D3F95D4}
1851017.0754,6315035.0915,25,11667,3711,,Papír,1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Dusíkova - vedle SSO,Kupkova,635,A,2023/04/19 00:00:00+00,{82D96DD4-2794-4A9C-A528-B1ADD3B79010}
1851017.0754,6315035.0915,26,11666,3711,,Papír,1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Dusíkova - vedle SSO,Kupkova,635,A,2023/04/19 00:00:00+00,{30C1E68F-26EE-48E4-8812-B3C3F023DD5C}
1835431.5118,6310051.1599,27,10684,3028,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,N,A,N,N,A,N,N,,2021/02/02 00:00:00+00,,,2021/02/05 00:00:00+00,,,,7,,,7,,,Křivánkovo nám. 2,Křivánkovo náměstí,6,A,2023/04/19 00:00:00+00,{416060F9-266B-4EAD-90D0-9A9C13148B67}
1851052.0409,6314856.7619,28,11668,3463,,Papír,1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Dusíkova x Majdalenky,Majdalenky,844,A,2023/04/19 00:00:00+00,{131AC7E0-7E68-49C7-ABB9-85BD0BC68224}
1850586.6586,6313807.8303,29,11970,3453,,Papír,1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Milénova 13,Milénova,882,A,2023/04/19 00:00:00+00,{E1B2D00E-2073-4C00-BA96-A655904C9FD8}
1850767.9312,6313134.9498,30,12001,2590,,Papír,1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Nezvalova 6,Nezvalova,401,A,2023/04/19 00:00:00+00,{AF2AE48F-07FE-4EF4-B23D-7837E5560B6E}
1850767.9312,6313134.9498,31,12002,2590,,Papír,1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Nezvalova 6,Nezvalova,401,A,2023/04/19 00:00:00+00,{B82BD733-C91F-48C4-AE17-E9E7CACC649F}
1835117.4684,6309632.5947,32,23964,2455,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,N,A,N,N,A,N,N,,2021/02/02 00:00:00+00,,,2021/02/05 00:00:00+00,,,,7,,,7,,,Za kněžským hájkem 1a,Bešůvka,782,A,2023/04/19 00:00:00+00,{444AFABF-5029-4EC1-BD85-7E24D2C26907}
1846099.3254,6308188.9205,33,26337,10831,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,A,N,N,N,N,N,N,2023/02/13 00:00:00+00,,,,,,,7,,,,,,,Barvičova 18 - v domě,Barvičova,17,N,2023/04/19 00:00:00+00,{15AD39A6-00D2-43BF-80AD-89B2998A0E67}
1850240.8446,6304810.0818,34,24175,3560,,Biologický odpad,240,1x týdně,SAKO,A,N,N,N,N,N,N,2021/04/19 00:00:00+00,,,,,,,7,,,,,,,Klášterského - parkoviště,Studniční,377,A,2023/04/19 00:00:00+00,{903370B3-AD3E-44FD-9D3C-EA630BA5AFAB}
1845383.4297,6303612.2483,35,24042,2504,,Biologický odpad,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2021/04/20 00:00:00+00,,,,,,,7,,,,,,Neužilova  4,,492,A,2023/04/19 00:00:00+00,{3F8BB4E4-F1B6-44B5-8C46-F4453845F617}
1836958.5258,6311983.6007,36,24130,3218,,Biologický odpad,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2021/04/14 00:00:00+00,,,,,,,7,,,,,Teyschlova 18,Teyschlova,1103,A,2023/04/19 00:00:00+00,{A514D2C9-6C43-4F4A-85DB-E1F0C0BA92BE}
1850853.0684,6315014.4624,37,25638,10749,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2022/02/24 00:00:00+00,,,,,,,7,,,,Dusíkova 15 - v domě,Dusíkova,910,N,2023/04/19 00:00:00+00,{9DAB16B0-7EF4-4F7E-9D2C-2087A9953A06}
1849841.9646,6314389.73,38,25688,10766,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2022/02/24 00:00:00+00,,,,,,,7,,,,Loosova 3 - v domě,Loosova,572,N,2023/04/19 00:00:00+00,{5543C276-4F3E-45E7-99D9-C1BD8BAA2563}
1850485.4135,6312257.7033,39,25710,10730,,Papír,240,1x týdně,SAKO,N,N,N,N,A,N,N,,,,,2022/02/18 00:00:00+00,,,,,,,7,,,Janouškova 7 - v domě,Janouškova,581,N,2023/04/19 00:00:00+00,{24F5F89F-A4F4-48B4-B4C0-C97797549BD2}
1857890.3972,6310446.6572,40,22343,9945,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,Na výzvu,SAKO,N,N,N,N,N,N,N,,,,,,,,,,,,,,,Puchýřova 13a - TŘÍĎOUN,Puchýřova,2585,N,2023/04/19 00:00:00+00,{28AC8880-FE06-4EAE-90F1-321E4E747D1D}
1857624.5774,6310561.9651,41,19905,7231,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Bednaříkova 5,Bednaříkova,2187,A,2023/04/19 00:00:00+00,{487978F7-F41D-49F3-91F3-EBB10C74F6C6}
1852138.5747,6308200.7258,42,6081,3040,Sklo duo - bílé,Sklo bílé,1125,1x14 sudý,SAKO,N,A,N,N,N,N,N,,2022/02/08 00:00:00+00,,,,,,,14,,,,,,Klíny 55,Klíny,2547,A,2023/04/19 00:00:00+00,{FF6B9573-D319-437A-8E0E-F2076FDA8D46}
1847209.5481,6321032.8496,43,26339,10910,,Papír,1100,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2023/02/09 00:00:00+00,,,,,,,7,,,,Kleštínek 14,Kleštínek,381,N,2023/04/19 00:00:00+00,{2185E38A-37BF-4C83-859C-F7122AB79649}
1839939.2944,6314750.8399,44,23915,2769,,Papír,1100,2x týdně,SAKO,N,A,N,N,A,N,N,,2019/04/09 00:00:00+00,,,2019/04/12 00:00:00+00,,,,7,,,7,,,Rekreační x Ondrova,Ondrova,159,A,2023/04/19 00:00:00+00,{7ED621D8-17C9-44DB-9648-11BB70FD0E4A}
1845792.8294,6308462.1843,45,23415,10235,,Biologický odpad,120,1x14 sudý,SAKO,N,N,A,N,N,N,N,,,2021/05/19 00:00:00+00,,,,,,,14,,,,,Barvičova 50 - v domě,Barvičova,44,N,2023/04/19 00:00:00+00,{21EEEFE2-AC89-4F53-ABDD-239FA472B756}
1846838.5313,6308782.4086,46,23505,7572,,Biologický odpad,240,1x14 sudý,SAKO,N,N,A,N,N,N,N,,,2021/05/19 00:00:00+00,,,,,,,14,,,,,Bratří Čapků 9 - v domě,bratří Čapků,382,N,2023/04/19 00:00:00+00,{7CB2E0D9-E2FE-41D5-A8F4-F96612B57064}
1837374.8607,6316823.1829,47,24015,4511,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,N,N,A,N,A,N,N,,,2021/06/02 00:00:00+00,,2021/01/22 00:00:00+00,,,,,7,,7,,,Přeh. Osada,Hrázní,312,A,2023/04/19 00:00:00+00,{62288896-DD54-4BB4-979A-605BAA111D25}
1836270.9275,6311901.8982,48,23121,10135,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,3x týdně,SAKO,N,A,N,N,A,N,N,,2021/02/02 00:00:00+00,,,2021/02/05 00:00:00+00,,,,7,,,7,,,Chudčická x Přírodní,Přírodní,1033,A,2023/04/19 00:00:00+00,{668A6270-1E7B-45AF-9D2E-54B9825B242C}
1849448.8732,6307979.5283,49,24003,9962,,Papír,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2020/07/21 00:00:00+00,,,,,,,7,,,,,,Divadelní 6 - v domě,Divadelní,614,N,2023/04/19 00:00:00+00,{A89BE9FA-50E9-4585-BF70-26384063EA3E}
1857499.8661,6311148.8551,50,18385,7941,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Molákova 20,Molákova,2510,A,2023/04/19 00:00:00+00,{25420FC1-E175-426A-B11C-F2C36C11E17B}
1856448.1307,6310556.4272,51,11215,3892,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,EKO-KOM,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Elplova 16,Elplova,2072,A,2023/04/19 00:00:00+00,{C64C1A56-5C92-4AB7-A772-E03A7101AFE3}
1846176.9151,6308747.314,52,23569,10329,,Biologický odpad,240,1x14 sudý,SAKO,N,N,A,N,N,N,N,,,2021/05/19 00:00:00+00,,,,,,,14,,,,,Heinrichova 35 - v domě ,Heinrichova,220,N,2023/04/19 00:00:00+00,{2EC47ADF-0276-4BC2-9B25-7A0E438184A6}
1856321.9055,6310559.0513,53,10496,4450,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Elplova 8,Elplova,2068,A,2023/04/19 00:00:00+00,{0CBB12BA-911F-4B1D-B58C-082CF73913EB}
1845716.7203,6317307.4545,54,5695,2921,,Sklo barevné,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2019/08/14 00:00:00+00,,,,,,,7,,,,,Úprkova 4,Uprkova,1582,A,2023/04/19 00:00:00+00,{B3A737C3-8440-4EC8-B9AF-076E9D177C90}
1842388.5792,6305314.4389,55,5620,2896,,Sklo barevné,240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2019/08/15 00:00:00+00,,,,,,,7,,,,Plachty 8 - 10,Plachty,514,A,2023/04/19 00:00:00+00,{AE337526-F778-46D6-BCB2-FD7BC9F5BFE6}
1848582.3846,6307511.0889,56,11597,3608,,Papír,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2019/01/15 00:00:00+00,,,,,,,7,,,,,,Biskupská 1 - v domě,Biskupská,283,N,2023/04/19 00:00:00+00,{F7712EBC-13A5-433D-B0DF-1FCFC9F62396}
1856277.1662,6310466.5936,57,16323,6711,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Elplova 4,Elplova,2065,A,2023/04/19 00:00:00+00,{937E3E46-A1BD-4061-A3E0-04CB1BC57170}
1857479.0383,6311301.2375,58,10871,3280,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Podbělová 18,Podbělová,2761,A,2023/04/19 00:00:00+00,{A30DA66C-B66A-4453-AD09-07164389E296}
1856760.0257,6310681.5176,59,21178,2862,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Kotlanova 5,Elplova,2468,A,2023/04/19 00:00:00+00,{66E04D2D-213B-47AA-B992-BAB573B70F6C}
1857279.7875,6310857.1517,60,13978,5189,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Hochmanova 17,Hochmanova,2179,A,2023/04/19 00:00:00+00,{286BF925-7DDE-4A42-956D-81CB096BC256}
1857330.5492,6311173.0534,61,18383,7940,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Molákova 12,,1154,A,2023/04/19 00:00:00+00,{8295BEA1-4B00-40DB-9A91-9CAF82F19E1A}
1856766.9497,6311096.1133,62,10297,4629,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Horníkova 1 - TŘÍĎOUN ,Horníkova,2966,N,2023/04/19 00:00:00+00,{47EE77E0-CC45-48BB-9A13-008EAEF73FC6}
1855762.0687,6309258.9943,63,11442,3770,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,EKO-KOM,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Sedláčkova  10-12,Sedláčkova,2902,A,2023/04/19 00:00:00+00,{2F05ABB2-160F-4FB9-A119-74B441587F26}
1857188.3497,6311144.6801,64,18387,7942,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Molákova 10,Molákova,2891,A,2023/04/19 00:00:00+00,{794412D1-AE0D-4E52-B1D3-9B69E610221B}
1856890.3697,6311213.6113,65,11245,3893,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,EKO-KOM,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Horníkova 32c,Horníkova,2965,A,2023/04/19 00:00:00+00,{9DE91464-A925-4C81-86E8-518BA96F6834}
1847309.2681,6308395.3198,66,25093,10601,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,2x týdně,SAKO,N,A,N,N,A,N,N,,2021/04/27 00:00:00+00,,,2021/10/01 00:00:00+00,,,,7,,,7,,,Gorazdova 3 - v domě,Gorazdova,55,N,2023/04/19 00:00:00+00,{498367BB-9E80-48B7-AD9B-A54E86B5BCD2}
1852956.4724,6315281.537,67,24352,4929,,Biologický odpad,240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2021/04/22 00:00:00+00,,,,,,,7,,,,Fryčajova 157,Fryčajova,537,A,2023/04/19 00:00:00+00,{A4AD2B95-4529-4432-90DB-36C716D590AE}
1857433.0522,6310428.8508,68,10599,2852,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Jírova 15,Jírova,2494,A,2023/04/19 00:00:00+00,{C7E9DFDD-CDD7-4A18-BC2C-C41519A2EC51}
1846158.3804,6308780.1769,69,25094,10331,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,A,N,N,N,N,N,N,2021/04/26 00:00:00+00,,,,,,,7,,,,,,,Heinrichova 39 - v domě ,Heinrichova,224,N,2023/04/19 00:00:00+00,{87DF5CBC-C8DC-44B7-A35F-AB19FC4483D8}
1850139.9891,6309442.1634,70,25580,10732,,Papír,240,1x týdně,SAKO,N,N,N,N,A,N,N,,,,,2022/02/18 00:00:00+00,,,,,,,7,,,Merhautova 5a - v domě,Merhautova,927,N,2023/04/19 00:00:00+00,{ED9C14A4-0679-42D3-A02E-C957604776B8}
1856772.4935,6310967.9153,71,25118,2479,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Horníkova 20,Horníkova,2136,A,2023/04/19 00:00:00+00,{1C8911F6-0BF3-4781-9A49-6E8F553E802A}
1855510.8206,6309276.9686,72,10932,2860,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Sedláčkova 4 - BILLA,Sedláčkova,2535,A,2023/04/19 00:00:00+00,{72873410-037C-4F59-A589-370A18FAD2E1}
1846849.2848,6308832.1206,73,23506,7690,,Biologický odpad,240,1x14 sudý,SAKO,N,N,A,N,N,N,N,,,2021/05/19 00:00:00+00,,,,,,,14,,,,,Bratří Čapků 20 - v domě,bratří Čapků,140,N,2023/04/19 00:00:00+00,{14B520C7-C09D-4DB1-9BC6-119C7140B84D}
1846167.798,6308762.3059,74,23570,10330,,Biologický odpad,240,1x14 sudý,SAKO,N,N,A,N,N,N,N,,,2021/05/19 00:00:00+00,,,,,,,14,,,,,Heinrichova 37 - v domě ,Heinrichova,222,N,2023/04/19 00:00:00+00,{BFF82FF9-1B52-411C-93BF-70C64AD377F0}
1846491.6041,6308182.7879,75,23718,10418,,Biologický odpad,120,1x14 sudý,SAKO,N,N,A,N,N,N,N,,,2021/05/19 00:00:00+00,,,,,,,14,,,,,Mahenova 6 - v domě ,Mahenova,353,N,2023/04/19 00:00:00+00,{065BB339-E776-43CB-B686-81345FDD9F20}
1850139.9891,6309442.1634,76,25581,10732,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2022/02/17 00:00:00+00,,,,,,,7,,,,Merhautova 5a - v domě,Merhautova,927,N,2023/04/19 00:00:00+00,{0642898C-7A4E-43EF-B466-0AA133FDAF45}
1849649.3151,6314386.5932,77,11918,2604,,Papír,1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Loosova 13,Loosova,579,A,2023/04/19 00:00:00+00,{5EB97BEA-D8CC-419F-8A3F-EFB7056909A1}
