X,Y,ObjectId,tid,stanoviste_ogc_fid,typ_odpad_separovany,komodita_odpad_separovany,objem,cyklus_vyvozu,majitel,vyvoz_1,vyvoz_2,vyvoz_3,vyvoz_4,vyvoz_5,vyvoz_6,vyvoz_7,vyvoz_1_zacatek,vyvoz_2_zacatek,vyvoz_3_zacatek,vyvoz_4_zacatek,vyvoz_5_zacatek,vyvoz_6_zacatek,vyvoz_7_zacatek,vyvoz_1_interval,vyvoz_2_interval,vyvoz_3_interval,vyvoz_4_interval,vyvoz_5_interval,vyvoz_6_interval,vyvoz_7_interval,nazev,ulice,cp,verejnost,datum_exportu,GlobalID
1852959.1775,6297303.7219,4593,22100,2458,,Textil,1000,1x14 sudý,,N,N,N,N,A,N,N,,,,,2019/01/11 00:00:00+00,,,,,,,,,,Zámecká - SSO,Zámecká,777,A,2023/04/19 00:00:00+00,{CF2CA699-849B-4261-8C35-EECB11FEF165}
1847175.4286,6308590.0375,4594,11031,3868,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,N,N,A,N,N,A,N,,,2020/01/29 00:00:00+00,,,2019/01/12 00:00:00+00,,,,7,,,7,,Údolní 38,Údolní,401,A,2023/04/19 00:00:00+00,{8D6F6584-E117-4C0A-84C7-2FDC13A5AD50}
1846589.287,6310589.7572,4595,24717,3202,,Biologický odpad,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2021/04/14 00:00:00+00,,,,,,,7,,,,,Veveří 112,Veveří,2207,A,2023/04/19 00:00:00+00,{6F0D0F88-AEA7-47E4-B812-827FD9AD2444}
1836485.4625,6311679.8536,4596,22855,10053,,Papír,1100,2x týdně,SAKO,N,A,N,N,A,N,N,,2019/10/08 00:00:00+00,,,2019/10/11 00:00:00+00,,,,7,,,7,,,Křepelčí 5,Křepelčí,1352,N,2023/04/19 00:00:00+00,{38680532-A534-4B2F-A620-95EC52BB1EA9}
1847357.4026,6308570.1226,4597,11493,3802,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,EKO-KOM,N,N,A,N,N,A,N,,,2020/02/19 00:00:00+00,,,2019/01/12 00:00:00+00,,,,7,,,7,,Údolní 41/47,Údolní,577,A,2023/04/19 00:00:00+00,{77EA50AC-78B2-434E-A2EA-527547DBEBA6}
1855136.6313,6300560.3974,4598,22101,3191,,Textil,1000,1x14 sudý,SAKO,N,N,N,N,A,N,N,,,,,2019/01/11 00:00:00+00,,,,,,,,,,Malínská - SSO,Měšťanská,901,A,2023/04/19 00:00:00+00,{3507459F-BD2B-49F3-A2DD-50C00863B2EC}
1846143.0183,6308498.6235,4599,23659,8949,,Biologický odpad,120,1x14 sudý,SAKO,N,N,A,N,N,N,N,,,2021/05/19 00:00:00+00,,,,,,,14,,,,,Lerchova 23 - v domě,Lerchova,315,N,2023/04/19 00:00:00+00,{8265387E-EA96-455B-AFB0-67396B74388F}
1848353.9792,6307577.0777,4600,10842,3676,,Papír,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2019/01/15 00:00:00+00,,,,,,,7,,,,,,Pekařská 6 - v domě,Pekařská,399,N,2023/04/19 00:00:00+00,{BB6ED366-57F1-4E93-A793-F94C6E382562}
1850978.3474,6309621.5711,4601,22113,3153,,Textil,1000,1x14 sudý,SAKO,A,N,N,N,N,N,N,2019/01/07 00:00:00+00,,,,,,,,,,,,,,Jana Svobody SSO,Jana Svobody,923,A,2023/04/19 00:00:00+00,{B836758B-7467-42F2-BA20-B996E8D40BC8}
1846134.8029,6315069.6497,4602,13896,2497,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,N,N,A,N,N,A,N,,,2019/01/16 00:00:00+00,,,2020/03/21 00:00:00+00,,,,7,,,7,,Jabloňová x Rybízová,Jabloňová,666,A,2023/04/19 00:00:00+00,{1F8EF6C2-AFC6-4B1C-BE61-DE2EDD05A552}
