tid,nazev,verejnost
25217,Kuršova 1,1
25492,Vondrákova 50,1
25256,Říčanská 15,0
25210,Slámova 37,1
25315,Potácelova x Skorkovského,1
22604,Kamenačky 4 - TŘÍĎOUN,0
25461,Nám. SNP 25,1
22356,Kuršova 2,1
25309,Stará osada 15 - ALBERT,1
25299,Bellova 8,1
25321,Jahodová x Pastevní,1
25314,Fügnerova 10,1
26090,Záhumenice 32,1
25325,"Wágnerova 7a, 7b",1
13378,Fantova 13,1
25326,"Wágnerova 7a, 7b",1
11617,Bráfova x Nohavicova,1
25346,Zeleného 51,1
26049,Skácelova 41a,0
11757,Jamborova x Vančurova,1
17041,Antonína Procházky 32,1
19737,Musorgského 6,1
12614,Prokofjevova 1,1
15678,Koniklecova 8,1
12715,Valouškova 1,1
25352,Branka 64,1
12566,Nopova x Hrozňatova,1
12116,Rekreační x Ondrova,1
25329,Vančurova 25,1
23219,Kamínky 5 - TŘÍĎOUN,0
11817,Klímova 16,1
25312,Voříškova 12,1
26112,"Vondrákova 7,9",0
25458,Jugoslávská x Hoblíkova,1
11712,Havránkova 100a,1
12355,Záhumenice 32,1
12197,Šromova 53,1
12709,V aleji 120,1
19477,Šromova 43,1
12457,Ivanovické nám. x Pastevní,1
12550,Moravská 50,1
14396,Vomáčkova 20,1
26137,Slaměníkova - parkoviště,1
26124,Horova 31,1
26440,Viniční - Meluzínova,1
19178,Tuháčkova 25 - TŘÍĎOUN,0
26054,Myslbekova x Václavkova,1
26062,Reissigova 15a,1
26063,Reissigova 15a,1
26163,Křídlovická 61 - v domě,0
12437,Hoblíkova x Ryšánkova,1
26142,Fryčajova 43,1
26249,Plevova 9,1
26144,Rekreační x Hrázní,1
26437,Vodova 53,1
26204,"Střední 34,34a",1
26276,Plotní 32,1
23082,"Wágnerova 5a, 5b",1
12627,Rotalova 33,1
12361,Zborovská x nám. Svornosti,1
17917,Grohova 39 - vnitroblok,1
11809,Karáskovo nám. 17,1
12369,Žižkova 55,1
11588,Bělohorská 159,1
12048,Pavlovská 29,1
12626,Richtrova 2,1
11675,Ečerova 2a,1
22855,Křepelčí 5,0
12323,Vomáčkova 20,1
12117,Rekreační x Ondrova,1
17483,Svážná 23,1
12479,Jírovcova 2,1
12552,Musorgského 6,1
12352,Za školou 3,1
